ISO3,COUNTRY,SOVEREIGN,UNREG1,SQKM,population,ann_growth,capital,density
BEN,Benin,Benin,Western Africa,115542.40031700001,10782000.00000000000,369000.00000000000,Cotonou,93.32
BFA,Burkina Faso,Burkina Faso,Western Africa,273366.65153500001,18450000.00000000000,582000.00000000000,Ouagadougou,67.49
CMR,Cameroon,Cameroun,Western Africa,466295.00400399999,21918000.00000000000,565000.00000000000,Yaounde,47.00
CPV,Cape Verde,Cabo Verde,Western Africa,4057.62192942000,525000.00000000000,7000.00000000000,Praia,129.39
TCD,Chad,Chad,Western Africa,1269963.08957999990,13675000.00000000000,288000.00000000000,Ndjamena,10.77
CIV,Ivory Coast,CÃƒÂ´te d'Ivoire,Western Africa,321881.89852799999,23326000.00000000000,581000.00000000000,Abidjan,72.47
GNQ,Equatorial Guinea,Equatorial Guinea,Western Africa,26987.40793590000,1996000.00000000000,81000.00000000000,Malabo,73.96
GAB,Gabon,Gabon,Western Africa,264715.50575399998,1873000.00000000000,34000.00000000000,Libreville,7.08
GMB,Gambia,Gambia,Western Africa,10797.23768290000,2022000.00000000000,64000.00000000000,Banjul,187.27
GHA,Ghana,Ghana,Western Africa,238760.76396300000,27714000.00000000000,671000.00000000000,Accra,116.07
GIN,Guinea,Guinea,Western Africa,244871.57977200000,10935000.00000000000,246000.00000000000,Conakry,44.66
GNB,Guinea-Bissau,Guinea-Bissau,Western Africa,33973.25710590000,1788000.00000000000,45000.00000000000,Bissau,52.63
LBR,Liberia,Liberia,Western Africa,95877.65353159999,4046000.00000000000,83000.00000000000,Monrovia,42.20
MLI,Mali,Mali,Western Africa,1251575.02921999990,17796000.00000000000,502000.00000000000,Bamako,14.22
MRT,Mauritania,Mauritania,Western Africa,1040735.87820000000,3632000.00000000000,86000.00000000000,Nouakchott,3.49
NER,Niger,Niger,Western Africa,1183765.11500000000,18880000.00000000000,701000.00000000000,Niamey,15.95
NGA,Nigeria,Nigeria,Western Africa,909481.58741000004,184000000.00000000000,5205000.00000000000,Abuja,202.31
SHN,Saint Helena,United Kingdom,Western Africa,410.59119706500,4000.00000000000,0.00000000000,,9.74
STP,Sao Tome and Principe,SÃƒÂ£o TomÃƒÂ© and PrÃƒÂ­ncipe,Western Africa,1008.58943427000,194000.00000000000,5000.00000000000,Sao Tome,192.35
SEN,Senegal,Senegal,Western Africa,196761.33476100001,14150000.00000000000,708000.00000000000,Dakar,71.91
SLE,Sierra Leone,Sierra Leone,Western Africa,72322.22045470000,6513000.00000000000,163000.00000000000,Freetown,90.06
TGO,Togo,Togo,Western Africa,57038.15184470000,7065000.00000000000,197000.00000000000,Lome,123.86
